PRODUCT_ID,PRODUCT_GROUP,YEAR,AMOUNT1,AMOUNT2,AMOUNT3,AMOUNT4,AMOUNT5,AMOUNT6,AMOUNT7,AMOUNT8,AMOUNT9,AMOUNT10,AMOUNT11,AMOUNT12
2392,8,2016,60881,8673,68798,4166,98353,97939,28805,1563,48529,85572,25971,3582
4159,3,2017,39512,53332,40759,69444,47209,32713,47920,60454,71104,29975,84413,26754
2942,8,2017,62689,58772,95233,31453,12569,36292,81444,82265,95664,80613,17474,40543
318,5,2018,20642,31453,84793,40982,9455,96992,87368,7369,71186,9293,43780,89090
3977,2,2017,96596,82960,86494,96623,60115,98442,30811,51524,22333,62433,62504,89909
3531,1,2017,45829,43512,29840,33598,20096,4501,96715,46380,92937,45799,43561,92172
1440,2,2016,43028,32191,26194,78457,64407,52947,9756,56205,51671,22568,18254,1583
4658,2,2016,43977,90251,7735,95352,36670,63877,82770,45925,1198,93054,92402,11192
4896,8,2017,32616,95418,39066,83726,60545,8084,58401,70244,88976,78538,16963,98902
3773,8,2018,62004,10404,97696,87381,72995,69058,66830,90695,3282,15258,25277,92584
2437,3,2017,54975,42317,64268,93095,30126,16024,38227,74243,67728,5540,87010,69124
3625,9,2015,94606,67306,90091,20749,74461,47831,94221,9450,56582,46103,28516,71015
820,4,2016,75173,45358,23164,89510,44181,21901,73636,12802,79422,88620,8407,83321
703,4,2018,45402,56193,77287,54112,5399,62164,82245,58181,17273,38789,45961,18505
2493,8,2017,61656,68955,31624,99613,99840,71703,86648,83728,84399,47600,60853,14609
2906,2,2016,39745,27526,50810,23551,2485,67783,60861,10576,51195,42515,86858,79653
1418,4,2018,15323,407,23589,77670,6990,15316,18432,13219,95689,32211,33957,99302
644,1,2016,67536,36281,3980,51126,81586,11611,26206,72564,19904,75155,97796,81461
2429,8,2015,48710,5360,88202,78012,25467,4428,59211,26199,87407,32974,32219,19066
3192,7,2018,58083,5381,91898,55693,92740,54904,39591,7783,51396,61786,21733,43633
187,5,2018,61577,33178,12087,59412,85346,97953,45614,86513,51476,12138,40865,21661
1675,8,2018,53689,89035,74840,52630,87240,11685,50158,87360,5085,56441,24109,67630
4518,4,2015,56517,98792,35700,61137,40635,16317,72822,95881,2226,83833,56379,54161
3395,0,2015,48359,64616,17246,65978,46970,80291,63294,21587,30221,52964,28759,96899
1587,7,2018,38930,30549,63962,88697,28149,23207,62598,39537,32763,52792,33178,30440
1902,4,2016,244,27332,64724,76941,26074,97498,11405,27424,60704,94284,16582,45015
3611,1,2016,92429,41634,69307,34992,34452,90499,2240,55104,6347,21043,21061,37460
2876,5,2016,64715,12917,58852,34597,92470,92704,60019,86174,43380,27202,94515,68292
3605,6,2016,78388,59098,50209,25139,94001,1041,50309,68683,56201,38655,28350,51688
4055,2,2015,29417,12181,10406,41629,69608,56908,96560,36213,36715,2938,22741,68924
930,8,2017,36761,63340,68450,8691,81491,93498,98854,48349,27555,80949,91909,67402
4756,1,2017,34108,35578,98820,35137,57862,30828,46019,22700,82791,77120,17160,88098
363,2,2017,6431,19090,8752,3265,98426,68930,32501,15162,18286,95896,40608,56356
2903,6,2017,59736,902,51602,77406,63765,54033,93645,24279,27097,51258,76606,83061
531,0,2018,94313,2773,67690,27353,31271,48208,58990,80651,76957,69591,56926,24005
1217,4,2016,82225,10423,87099,31466,46212,48396,56386,567,30496,10162,93134,26154
1066,6,2017,19175,48406,73124,19313,3332,8238,74608,27675,51316,58993,71071,57718
2010,2,2018,88773,82285,83861,54348,43713,97975,4276,35862,66701,77769,74499,21487
1847,7,2017,96396,88891,80011,32163,94248,77874,12193,85332,3648,66471,80894,31130
1654,8,2015,47431,73247,42526,6105,26164,82195,82093,66977,16809,42897,50459,94010
3139,6,2015,96286,26479,98678,59758,45324,61501,13896,75066,30260,98383,60971,47384
2138,3,2018,78823,61509,46115,25284,4748,28091,55026,67649,77859,64347,59045,41585
904,4,2018,26149,22675,14762,24016,39515,71897,57501,92712,76536,24015,20467,20965
3533,8,2017,81634,51172,82018,71196,26818,34093,29461,4296,37459,39241,94279,53722
2620,2,2016,92521,49461,7365,24333,49097,70950,33869,59872,47026,77768,15789,24788
3391,1,2017,31704,43014,79593,25523,77198,50751,31336,26958,13915,78482,40219,87072
3230,7,2016,880,15997,84816,37569,21240,3099,40781,90389,641,31590,52159,43265
4379,1,2017,99819,89654,23119,48205,72834,82815,19919,81441,14264,68794,35811,58703
1158,5,2015,94102,84909,70614,50334,61797,2544,66067,78592,62826,50751,42827,79121
2113,3,2015,6367,57461,40485,65396,25531,45278,89745,46685,40777,47543,10295,92967
4929,0,2017,43016,82162,8539,53359,94194,69238,20158,19592,61097,1057,71253,13515
2751,1,2016,11790,34702,55277,27558,88360,92050,71808,907,41306,10049,67265,80596
1920,7,2017,71375,85189,63266,30776,37684,39629,9655,61961,56974,17579,77583,48801
1842,9,2015,27073,84192,74826,4861,47227,56677,86233,11586,15042,82570,43777,54397
897,5,2016,3952,6350,41147,10385,90906,3520,66966,67306,26904,49818,61288,71423
2128,6,2017,61588,85941,84079,63126,23535,39988,82574,42983,93628,28858,22244,96686
4474,0,2015,77974,11890,83380,86341,1608,5048,83077,71918,23445,7403,32906,86703
2043,0,2015,22382,4145,87641,80607,79792,17672,18049,79303,15528,27488,45203,51756
3763,4,2015,40755,31039,163,62099,90440,35730,77484,66431,77238,13574,42277,41299
730,8,2017,4998,16324,3076,28187,78,66370,33578,97770,1605,86539,4143,53635
3701,9,2015,56630,80114,13780,83604,36839,27319,64576,74712,38777,44936,73089,38253
1697,2,2015,40655,59364,38818,66671,95944,57078,69305,24116,20159,42064,43293,94995
1463,3,2017,80369,29687,17825,39449,98878,7834,60695,73857,28464,35965,14085,17144
1411,0,2018,86090,98639,13540,65364,89885,82445,43681,34167,64379,93159,77715,92847
3982,2,2018,75386,82724,90284,83813,99810,8530,87334,54549,1574,49109,15372,43587
2971,1,2018,61077,74911,30304,48781,40587,25907,15261,90259,15888,93010,9658,57520
708,0,2018,44513,58390,53749,35898,77170,8167,82444,27233,19007,93930,37801,32248
4328,7,2017,26942,64010,9151,43770,37903,51200,93545,47445,28645,33653,21531,62299
2282,4,2016,97956,49580,32974,98391,53867,72378,29943,83426,6387,12939,64798,51740
1452,6,2015,25381,998,63899,23751,73542,6472,71544,50267,26434,67694,79448,19366
741,3,2017,35125,85369,2371,19776,39216,21495,77072,13575,96687,80314,90667,6546
3470,5,2017,74138,35695,80041,61971,74063,60994,45681,19104,29442,90196,74202,42482
4044,0,2016,26180,20203,85880,8533,63562,49790,93562,25084,54551,27781,96749,58546
2032,7,2015,23239,44625,76608,94818,15294,96545,4287,68272,18657,29268,54542,9982
2412,9,2018,5125,23591,41070,60517,30625,56293,43438,96648,61184,73449,53301,4665
2295,6,2015,7211,47842,62345,88778,37349,63590,23625,47014,35309,81509,92700,12345
1275,6,2015,93804,97188,88444,60999,34837,32079,8260,34188,92481,25411,2455,9314
910,7,2015,23830,37858,34212,84798,45432,86012,11629,3981,74094,33013,54911,11763
621,4,2016,83123,93633,25929,56944,58195,96246,84494,76141,87796,75247,55993,77140
4179,2,2017,38418,63899,89417,24903,25931,68964,96312,67929,60859,82604,90289,43746
743,4,2015,86916,5074,34888,73084,49698,42908,45629,96824,13004,30116,54791,36979
1872,4,2015,7178,54431,64895,78301,45900,99905,59365,78279,2190,69878,99444,36887
4925,1,2017,84688,42353,61619,83029,50781,96746,24394,58284,98030,7954,30436,311
1967,1,2018,32964,16455,8960,63967,94001,76522,34949,10532,67572,5755,68509,39238
4267,6,2015,75975,32014,4006,83645,63554,86416,34343,63438,37877,72420,99322,79399
1794,7,2016,8520,40608,780,97159,78834,50139,5997,20502,91830,69412,75998,10005
2249,0,2018,67009,20084,80039,34387,86726,25415,49799,39654,62618,36077,27416,59688
1446,9,2018,91492,47122,99331,61905,97048,47196,96805,52325,70134,51701,33540,34262
997,4,2016,7506,88869,15816,94485,86037,43472,41221,70900,87155,20251,93130,9099
853,6,2017,595,11214,89157,18293,22253,87145,62222,86586,6140,17489,69009,91067
1107,2,2016,37673,85737,92981,40464,60715,55593,43653,73096,42838,66246,87453,436
475,2,2015,51844,78317,36401,28917,1651,19197,96267,40958,46897,31156,99099,59572
4689,8,2017,85468,9470,60363,67301,32028,48953,6013,3378,28459,68670,62542,40483
2239,5,2015,82067,11281,7332,74383,13212,19545,20625,43455,93025,85602,5540,830
3359,4,2018,13004,24995,5273,60408,84547,97838,33723,43173,13844,38454,47291,9336
4703,0,2018,34145,12879,17766,20984,54112,55601,13173,35823,76963,54063,23890,35051
1973,7,2017,15951,17907,16862,75724,79447,11968,13060,5001,7301,31992,43298,96215
201,9,2017,91372,2029,77917,89531,87591,91866,17404,29222,17890,41739,15183,75937
2052,4,2017,79732,52563,69934,82748,3400,34918,44586,90041,43810,53496,97711,36437
4605,9,2015,94885,61187,36959,47057,85676,86823,37819,56940,74556,26626,24774,39840
2670,5,2018,26329,25774,89671,54587,95988,60170,99580,50165,26886,53513,45425,79714
4637,0,2016,24642,59793,78687,56540,18702,59925,29043,3625,83909,89824,18660,86330
933,3,2018,14714,12790,79079,14734,8635,49408,85428,58914,71183,69052,76224,37555
719,2,2016,52766,71973,47220,40690,845,7135,87514,75631,93365,74099,39915,2604
3465,1,2015,35400,70603,78986,6270,54344,19091,83139,69381,94819,14344,54774,16193
1954,5,2018,63248,77395,46451,51323,25556,72097,61746,12865,20904,77169,89175,15386
207,0,2018,14188,97637,30626,77697,78219,26903,20338,78945,60340,52526,87893,12543
4723,4,2017,12836,53777,28285,83907,68770,63117,60134,39474,52466,95670,53341,67919
550,3,2017,27279,27651,43124,88814,85363,38072,77775,66927,21134,85625,753,12592
996,5,2016,26223,98179,50561,92134,35036,57347,66503,46005,61396,91015,38061,37479
2838,5,2016,95346,77762,28578,13017,41742,83713,18806,93987,57312,37269,41647,56619
1499,4,2017,10802,94242,70437,91644,3249,41298,69673,18278,41243,39708,40515,61927
3367,0,2016,94987,21986,78901,69244,26689,24368,72502,17853,63019,71707,66998,41555
2479,2,2015,79593,39594,20511,36713,80232,22755,69501,79358,51593,64957,22387,63163
3133,7,2018,29411,91739,96462,94407,43003,58028,1458,18589,37328,26071,84981,15410
1400,0,2018,61468,75952,2255,11808,81848,45285,16748,25597,56791,38639,39569,39915
1750,9,2016,23018,5400,27738,15329,78760,11346,69189,67912,58615,11122,84384,40482
408,5,2017,37766,51350,37092,63955,48908,15728,27282,44888,11364,54542,28853,2183
3212,1,2018,25908,58253,85237,32855,3986,71176,50751,43384,58394,1219,83092,70725
3474,8,2017,27568,2634,11075,10343,55334,90217,85554,33823,20641,99206,98054,666
1498,2,2016,90142,16520,9653,40732,98764,25545,95119,1060,9686,27052,14011,58640
3871,3,2016,33212,43675,70526,3042,17192,54821,29079,95639,45528,80335,17528,21877
3932,8,2017,41856,10364,46378,95232,69246,956,47571,97540,84885,16712,51666,25603
2095,6,2016,75634,6588,83155,59394,69884,11510,62026,22965,58953,44351,63023,62375
2908,2,2017,92049,29673,86633,4490,1981,48289,79381,61411,38125,83387,2920,25736
2454,9,2018,8148,97322,86324,33036,49483,70067,34909,57512,1723,34235,36114,11270
2205,2,2016,84351,6600,17445,24475,842,25730,53660,77504,17243,11748,87072,29634
4444,1,2017,68713,33786,63698,72339,32964,46054,87001,1264,43350,77692,816,36891
4372,0,2017,59128,89210,68676,9365,49380,45045,88294,84795,64842,60400,61910,18610
4582,4,2016,58574,39974,18688,84858,67443,69993,62996,86382,81329,66239,44795,85719
3173,8,2018,6433,93581,37690,46459,42552,27823,35250,51113,56323,80102,45995,10886
1882,8,2018,75473,10680,85468,87515,94986,24571,26443,53871,77050,75464,4837,24420
3104,2,2017,18040,65176,74462,16022,3058,25354,66048,13546,64658,25357,71172,43001
4587,4,2016,60969,97901,38209,57735,38774,35592,27130,12546,6766,25610,6889,99737
1948,5,2016,31088,83054,50813,34210,53865,25813,48132,95097,12959,34906,69513,25972
692,8,2016,26643,5675,46201,5607,12913,93336,94608,47825,24133,7507,94448,63326
429,1,2015,88156,3671,10711,91675,83244,52901,66664,66304,62133,33853,75418,66482
2451,0,2016,12261,86410,57874,28288,3463,41004,41077,16653,54655,46074,30687,31857
3332,1,2018,2347,35548,5912,22291,96724,23664,4136,83383,35517,64424,93096,42601
1188,8,2018,88155,95526,99046,87040,27943,88702,45703,51009,50145,80844,83606,67976
4611,6,2015,41281,14740,81237,56239,31610,47838,19692,13632,97527,53546,75181,14051
498,7,2016,97871,20191,92419,75615,40671,45374,74182,11817,58125,1258,38217,68311
2889,8,2018,52422,83511,41911,9871,20710,15394,52549,54029,91042,4673,43931,69556
3109,6,2018,19308,22839,80826,29529,65823,38768,30819,26919,20994,88451,22637,69034
3946,1,2017,4544,49612,14756,83260,99126,36472,7744,65836,53085,6419,16250,47205
409,2,2015,96480,7383,53131,49736,43711,13310,48642,25596,73415,71519,94991,56243
1899,1,2017,75717,58518,30803,90024,1376,72388,55618,59074,83529,61822,60934,84613
385,1,2016,43354,43369,2698,23740,31778,67273,58192,21778,12447,72009,14749,4394
1683,7,2016,6755,31667,48815,25495,9530,17079,76670,86596,9215,29153,83459,64814
36,9,2017,74121,79602,9151,36397,52630,99766,11078,98365,32546,18713,81260,24410
1636,1,2018,33823,64592,89603,44948,78743,85060,66169,99629,22081,61422,26032,72809
2995,0,2018,2812,53371,92529,68949,7689,1761,16665,10379,44266,61224,9321,84886
3037,9,2016,79499,11243,54180,75871,57098,41845,19840,43857,93428,26045,17838,64727
3747,2,2015,44663,71985,47433,73094,62765,11842,2510,84392,88391,94046,92995,75599
1393,4,2015,6872,79646,32808,6791,19470,19501,70686,37162,39277,64596,48432,62908
4568,3,2018,87460,5222,97623,94152,17010,14791,48945,35645,78881,46309,15794,95059
37,2,2018,46533,32342,92397,44747,69801,98361,18784,77324,61985,73832,69028,33182
3272,7,2016,60726,99977,97152,32721,15620,41507,73610,78051,68433,78410,20406,48702
265,5,2015,76096,1636,85087,81032,86454,84271,97969,23381,71486,12241,99416,51937
3640,5,2018,76341,43382,52980,73494,70773,62402,49011,61672,14054,34078,92576,11724
2617,6,2016,10133,10066,93874,2855,76863,11021,71063,29086,31812,66670,77070,98768
23,7,2016,764,36173,55896,85936,55328,38635,61687,62364,74712,29787,21274,89563
1668,2,2016,74480,58164,33961,60134,5007,48002,77643,97209,77109,79692,73286,92537
4569,7,2016,59769,6854,85912,97202,4602,63497,94128,90446,20410,97765,61670,76478
1313,2,2016,10882,30953,85266,20065,85967,43474,95355,84043,53669,36480,11698,88175
732,2,2015,44620,34300,80223,51209,95180,14187,33422,69763,8246,25952,89074,61440
4689,8,2018,55788,51159,5694,1519,43231,84113,60236,81259,24380,25876,10609,94934
1283,8,2018,28628,52774,90193,45642,43665,97833,91660,65852,38793,51746,62600,78920
2483,0,2015,9257,67883,79880,58798,4704,27931,30043,17335,85283,41701,50259,62003
373,9,2017,30237,30033,23084,16831,13920,93664,1027,83754,24493,30090,96670,25835
3632,3,2018,30683,83888,96568,18213,81400,80377,79595,13472,18474,1864,7673,55443
1823,4,2018,5120,3569,53009,44248,63653,31229,53196,13473,37034,49936,32994,44536
3714,6,2017,20646,8289,49892,16491,77513,22523,59165,22860,84484,93269,16560,66903
2712,8,2016,28862,9393,30716,38551,35497,3843,55477,50980,51883,28691,44920,16574
4968,8,2015,46410,23621,36644,27670,19919,66996,62399,12897,72349,73115,86895,16843
2729,8,2017,46622,9264,95987,3697,13622,48784,38008,75829,68398,81334,63663,21432
1131,2,2018,61605,25223,25000,72778,4967,31012,45471,36831,3902,69802,62460,37466
2616,3,2017,51392,14070,15234,21582,9837,38295,81860,35297,77394,3891,16292,61978
3310,7,2018,9799,32580,73323,90607,10751,36030,91058,29887,95674,2142,69131,6763
1141,9,2015,9486,13524,37922,9773,54667,62903,40896,41161,3866,9199,54092,54143
3548,8,2016,32334,26941,98985,74547,52259,64726,24755,75477,20011,31579,81283,10855
1297,1,2015,85655,98402,83746,64318,88947,46389,12717,89328,39488,42281,80714,89532
4714,7,2015,27874,4072,37287,76852,33892,45723,71982,78671,95562,71203,36660,25037
1598,2,2017,88420,54903,83838,28188,19689,26387,40870,95668,52283,72445,44353,89628
1322,2,2017,27030,34562,18159,25516,32483,19448,31581,73870,33330,93775,63141,11996
178,3,2016,486,29704,13091,43768,71525,75452,93654,48407,24751,44014,5738,89601
4422,0,2018,34663,3679,77417,79095,60541,79994,5415,16155,13942,29891,6417,81802
3755,5,2017,55935,2490,20259,96210,97963,8299,74879,91142,86237,83086,35107,88581
3629,8,2017,651,39718,96109,7742,61083,30958,84911,82822,17591,18227,83284,63531
1402,5,2015,53758,24540,76168,13219,58682,988,88302,64629,26849,26077,54419,25724
2925,9,2015,65311,96912,44910,67115,43458,50145,24656,27674,50953,14756,40983,71315
675,4,2015,57823,16706,40559,52753,57910,64654,28222,95277,24897,22073,68672,18118
2626,3,2017,94303,75747,60098,61981,44884,85583,63788,39995,5836,87473,92176,67943
18,5,2018,42441,9955,33954,51772,26395,18858,58429,6623,87492,83430,63224,37564
1198,3,2018,64301,37445,17130,18876,39116,73070,12737,54694,28877,45281,92276,40164
792,5,2016,27163,15220,85639,23068,13199,70255,71575,78028,80081,59994,19711,5581
206,3,2017,89726,67727,63929,91434,22306,68058,10785,66936,25465,78981,65291,18790
763,0,2015,66545,11517,22027,50639,67017,25125,90043,24480,41077,63098,21223,22883
1067,9,2017,65837,26730,72180,44709,27211,99102,28109,67537,57063,61807,6304,26238
2577,9,2017,15989,77785,61438,74596,17972,21538,63460,21283,98458,67026,30730,33562
3370,9,2015,97042,63929,45476,83968,94636,77645,85480,9780,86511,49269,35359,2887
537,5,2015,62527,45750,34714,32858,83073,84590,57128,91602,26699,54265,1983,7274
1746,4,2015,39440,16888,50681,54854,72841,1077,51594,17436,51957,20545,62442,89785
40,4,2016,46771,12692,51194,67571,55628,39132,79438,69569,71709,35172,94066,9803
1415,4,2018,80027,14134,62363,98737,94685,91227,5632,1919,72306,59556,96916,60248
204,4,2015,26954,54804,99638,89162,69,79919,13312,7874,15034,53823,94342,88986
4974,7,2015,58171,36922,75397,98136,99556,25603,99906,47339,80590,43025,25192,91323
522,6,2015,96275,94247,7836,80862,90788,87280,42003,77678,6378,25841,51575,63085
615,5,2018,48948,10367,24827,20019,67599,19008,2640,63906,17868,11371,47735,92286
2551,1,2017,76693,75394,7793,92694,19296,60234,84050,6089,29145,27573,99166,80812
2762,9,2017,38886,80371,71763,32263,58482,59174,32735,61312,13665,66371,65696,7055
2246,3,2015,11394,11404,66020,53903,98304,52172,12456,68221,58546,5275,29418,92359
1599,8,2015,95656,53634,17539,86052,24031,41434,79489,61769,24375,67118,76092,313
3137,7,2017,73629,63203,73275,28480,61836,39146,53107,62254,65738,5787,62874,98569
4026,4,2016,22329,44577,65054,9444,82582,80121,28314,84843,71438,81038,28092,62045
2030,3,2018,68594,2840,29750,6200,16114,71610,86788,55319,34719,831,93336,4456
3669,1,2017,63292,32890,50386,45198,86707,87869,12865,20807,2922,33039,34717,68490
2993,4,2015,6006,99739,52568,80370,66779,53807,7708,88320,17853,66107,38776,19428
2783,2,2016,94825,35753,37320,48700,2151,34736,37132,90339,15370,90273,52242,5434
3209,7,2016,25230,27379,16612,51036,54899,89564,82176,72907,42059,90388,52813,53849
3266,9,2017,56606,32612,88163,56688,67215,21163,9693,3293,50444,12841,68116,6140
2367,5,2015,42136,58047,2328,28894,56472,5242,74197,39000,40537,53745,14261,1404
2751,1,2017,67737,50712,56847,4720,38985,99750,39157,68381,33496,70407,48217,16932
3066,7,2018,30579,44698,4977,32767,99827,40744,55429,36409,97906,89322,39706,70533
1797,1,2017,77171,10134,74864,61922,45119,67336,69919,38847,51007,78756,7899,88227
4941,6,2016,27170,44132,49001,21975,20464,65472,3380,81587,34464,19230,288,54519
4095,0,2016,95732,76843,91064,28234,26475,28125,36882,6142,89161,79760,58736,62356
4618,4,2015,43365,74015,86038,78646,29015,29386,78315,82853,70157,101,11932,79276
4281,2,2015,85958,88087,38669,42109,38215,75022,75470,65693,9195,75112,26859,22797
396,3,2015,42562,24013,66003,58100,40506,95443,65838,52885,29205,76372,12628,64000
3973,3,2017,8560,51316,52955,24305,7241,77833,28100,65847,24444,86454,47471,9465
4273,2,2017,38147,32351,76492,70288,15142,39711,88515,6753,70757,76543,18241,29327
4868,8,2017,96788,11118,75812,94268,7502,24937,58732,2051,35059,88856,68250,63227
3731,7,2017,84343,45110,24328,54092,49560,13940,60593,82531,7076,25603,17294,70442
2957,1,2015,99270,23232,61782,77250,37059,85521,72035,29716,36313,15872,37049,61510
3107,0,2015,37280,75306,6286,14860,94632,50070,44441,44219,19752,68100,785,70525
342,9,2016,20764,1408,63575,39210,79985,20265,60113,62949,81245,5925,15158,54355
4457,1,2018,31261,87301,27263,25140,74912,33053,1717,50816,11941,32170,45376,29350
1279,6,2017,23636,7009,91957,57379,29059,88217,81545,62009,20465,78701,70946,36783
1150,2,2018,8696,9848,2721,63484,81172,86122,90081,84397,55939,17519,32495,65733
907,4,2017,15307,38146,81756,94433,36683,9112,47053,53922,46627,38147,87719,2237
1092,9,2016,85708,95320,77060,50172,71746,63763,60469,61968,8326,91745,78664,70854
3562,9,2017,67836,85644,17670,70461,87829,52232,48482,33906,79449,96120,81506,80414
4040,9,2017,49604,59215,11035,84895,71212,3491,70932,95627,91669,81675,83298,27836
301,8,2017,69805,14510,36345,82739,7370,14096,96324,50986,24158,72261,14187,86671
2234,2,2016,34245,71377,35925,5744,13583,81360,96486,63570,86379,60171,73352,46653
545,5,2015,22719,88103,14307,55854,15975,87211,4442,67949,38860,1019,50787,88677
846,8,2015,98514,49082,21989,85957,1009,30260,20991,4367,132,47085,38715,69494
4922,7,2018,33496,60766,24104,16400,34357,26610,5514,75654,88730,70409,69201,73743
2092,8,2016,63922,50150,78228,54451,29628,46998,8394,33471,6844,42753,1402,35927
2040,7,2015,45882,23275,87777,78401,47913,32571,12807,32655,30182,64955,33198,80727
3609,6,2015,16284,99756,36517,10050,12565,3158,62272,31337,98198,82709,62044,54825
4206,4,2017,93915,64892,492,47820,44129,5470,68455,84541,44316,62135,75455,55899
4355,4,2015,67663,30061,41020,69150,22794,24407,36010,79912,39524,87842,93992,81370
1731,1,2016,85801,85256,90270,81443,20167,13225,42589,50024,44357,18759,85977,50272
2,9,2015,13468,57692,96996,15613,90169,49162,48212,66730,8742,8556,44123,29636
1044,2,2015,61740,56730,21210,96516,77820,76034,57293,2486,1144,21524,21705,80528
3890,2,2015,48690,41101,94522,23487,49099,58602,88807,5300,47256,42558,31487,21895
4874,9,2018,60289,26867,40431,24251,33994,45820,44728,17548,4708,76198,40598,19349
3964,3,2015,993,52769,35664,3738,7931,32437,42938,34679,45690,37120,905,98167
3486,6,2017,887,58603,32140,71140,95192,88729,37469,3398,58231,6773,42094,99309
1091,0,2018,31532,43400,28258,29014,80714,96208,40179,22368,40803,46633,44422,86226
2932,4,2017,40336,82081,48047,94046,50453,52956,90219,21640,29112,78612,98429,42194
